EmpID,Diversity and Inclusion Index,WorkPlace Equality Index,Accesibility Index,COC Effect,Hygiene and Work Environment Metrics,Yearly Health Workshops,DEI Workshops,Reacreational Activities Time Min,Corporate Wellness Metrics
619-51-3328,15,10,0,1,5,1,10,11,8.59
262-15-1956,2,3,4,0,3,2,2,10,3.61
388-46-9630,18,8,5,0,1,9,7,69,18.22
479-74-8924,1,1,1,0,1,8,7,62,11.03
527-37-4349,14,18,4,1,4,2,10,85,21.42
700-51-9763,7,17,4,1,2,12,9,3,7.8
722-12-5639,6,17,5,1,4,7,5,108,22.97
385-59-3162,2,17,5,0,1,5,4,33,10.11
394-32-2540,4,2,3,0,0,3,5,90,15.72
180-31-5192,8,18,4,1,2,10,6,113,24.42
833-29-6691,10,13,0,0,0,11,4,108,22.49
771-35-6044,15,19,0,1,4,1,8,120,26.53
484-62-6777,20,16,5,1,3,11,4,26,14.17
391-66-8668,19,13,1,1,3,10,8,88,22.33
245-83-6821,20,2,2,1,1,5,2,17,8.86
832-96-3986,6,13,4,0,5,10,4,43,12.6
114-30-8786,9,12,2,1,4,7,3,113,23.07
341-05-7098,19,8,4,0,0,1,9,64,16.89
872-44-3328,12,13,5,1,3,3,9,16,9.6
763-02-9977,3,10,0,0,5,12,7,59,13.58
751-95-8286,15,13,4,1,1,3,9,92,21.43
167-09-6640,4,17,5,0,0,3,3,20,8.32
728-69-7851,17,5,2,0,3,10,3,7,7.88
860-67-9453,4,2,2,0,4,7,8,30,7.57
287-66-3637,20,9,2,0,5,1,3,0,7.79
793-17-2650,10,16,0,0,3,9,3,1,7.14
783-02-1619,11,13,1,0,1,2,9,50,13.69
837-89-6622,8,14,2,0,1,6,6,75,17.2
453-24-4906,3,4,2,1,1,12,6,100,18.29
234-48-2595,10,9,2,0,1,1,3,32,9.65
362-04-1954,7,5,2,1,2,11,7,46,11.46
652-09-8808,18,8,3,1,4,11,9,70,18.83
223-66-4294,13,1,0,0,4,1,6,36,9.68
805-34-5337,20,1,0,0,4,7,10,5,7.52
269-65-6798,6,8,5,0,1,3,4,68,14.38
627-59-8025,19,2,5,1,4,4,5,102,22.05
774-85-9467,8,10,3,0,5,3,8,89,18.87
489-93-5871,12,8,2,1,5,10,9,82,19.05
131-74-7701,20,17,4,0,2,1,2,114,26.31
832-43-7275,3,8,0,1,4,7,10,116,21.37
110-64-9611,3,13,4,1,5,6,7,68,15.44
364-07-3857,15,3,2,0,0,6,4,24,8.89
379-44-6968,3,8,3,1,5,7,3,57,12.58
190-74-2766,15,6,5,0,0,2,3,9,7.13
851-75-4023,12,12,4,1,1,4,3,113,23.42
355-57-8632,3,8,0,0,4,11,8,49,11.53
692-32-4274,20,5,3,1,5,12,1,68,18.23
245-61-6029,15,17,0,0,3,4,5,93,22.04
184-35-0434,8,14,1,1,1,10,4,109,22.51
222-10-1304,12,14,3,1,4,11,9,119,25.88
753-48-5430,17,6,0,1,0,3,9,56,14.62
671-14-3552,5,19,1,0,4,3,10,20,9.36
305-30-3738,16,17,0,1,4,5,6,112,25.44
553-09-1005,6,10,2,0,5,4,1,72,15.46
121-78-4208,8,6,4,1,2,12,9,43,11.85
594-75-3711,7,12,5,1,2,3,3,35,10.59
467-85-3870,1,1,2,0,0,3,7,36,6.67
380-78-0274,10,19,0,1,4,4,7,40,13.5
483-97-6662,4,20,0,0,2,12,6,90,20.1
682-59-2742,4,7,5,1,5,6,7,23,7.84
717-75-7968,14,1,4,1,0,1,3,85,17.14
325-21-9619,9,18,4,0,5,6,5,26,11.49
664-46-5045,15,5,0,1,0,4,2,110,21.76
241-18-3696,15,19,2,1,2,10,10,99,24.27
734-60-4732,12,17,0,1,3,5,6,77,19.08
389-83-3341,19,10,3,1,1,2,10,50,15.39
722-99-4130,16,4,3,0,3,11,9,13,8.82
484-29-5794,4,19,3,0,2,4,1,69,16.08
644-78-6787,6,5,0,1,5,11,8,111,21.14
340-65-4320,13,19,5,1,3,12,2,36,14.51
421-96-9008,20,10,0,0,5,1,9,116,25.49
439-01-2577,16,9,5,0,2,10,5,6,8.57
356-65-9544,2,12,0,0,3,1,7,92,17.47
522-17-2473,3,15,3,0,1,9,5,40,11.22
846-21-3275,1,15,5,0,4,5,6,75,16.19
264-59-3547,7,20,2,1,4,11,3,61,16.73
289-37-8623,18,6,2,0,2,12,9,2,7.95
486-24-7101,16,20,3,0,5,6,9,67,19.89
572-76-6388,9,7,5,0,4,12,10,77,17.72
698-84-7290,17,7,5,0,2,8,7,28,11.64
125-28-6940,9,2,2,0,3,7,8,61,13.36
303-05-8271,14,12,0,1,2,10,7,27,11.47
478-06-4299,16,12,1,0,0,1,6,17,9.44
233-18-5047,3,15,3,0,3,10,8,31,10.33
281-12-4721,16,11,4,0,1,11,3,41,14
290-09-2503,9,16,5,1,1,10,8,43,13.86
324-15-4305,19,9,5,0,5,9,7,59,17.61
739-82-8145,1,10,0,1,1,8,1,85,15.93
572-45-4226,16,12,1,1,5,6,3,79,19.64
128-55-4312,19,20,3,1,1,12,10,54,18.89
889-07-1040,20,9,4,0,1,10,2,85,21.06
805-60-2039,17,2,5,0,0,4,8,120,23.91
624-41-9651,1,19,2,0,3,4,2,32,9.84
420-70-7277,2,9,1,1,3,3,10,63,13
733-68-3802,8,11,1,1,5,3,5,54,13.52
221-47-2870,6,17,0,0,3,9,2,22,9.44
557-95-8752,16,14,2,0,5,3,6,112,24.92
679-20-3452,6,2,1,1,0,11,6,18,6.04
