EmpID,Country,DOUHC,Life Expectancy,Racial and Ethinic Equality,Happines Index,Pollution Index,GDP Per Capita,Population Density,Regional Quality of Life Score
619-51-3328,China,7,79,63,9,138,1222.49,93,182.7
262-15-1956,Indonesia,3,77,35,9,47,5974.46,69,303.6
388-46-9630,Hungary,6,73,35,8,116,10196.16,40,1277.8
479-74-8924,Pakistan,3,67,63,7,99,5571.43,62,596
527-37-4349,South Korea,5,55,77,0,10,10396.59,18,112.7
700-51-9763,Indonesia,4,58,81,5,96,3356.21,16,348.3
722-12-5639,Philippines,6,67,67,2,80,2226.08,94,192.8
385-59-3162,Indonesia,4,59,70,2,176,1246.02,82,237.2
394-32-2540,Indonesia,6,60,83,4,83,8123.62,9,728.6
180-31-5192,Japan,2,84,55,1,126,3540.19,22,482
833-29-6691,Indonesia,3,71,44,2,147,9162,100,1454.9
771-35-6044,Philippines,5,54,68,5,114,9076.38,49,1117.9
484-62-6777,Portugal,0,81,71,1,14,2364.22,67,36
391-66-8668,United States,0,82,33,6,90,2713.48,40,263.9
245-83-6821,Sierra Leone,0,60,57,6,68,8486.21,92,623.4
832-96-3986,Puerto Rico,5,58,52,2,137,5958.37,99,882
114-30-8786,China,1,80,68,1,191,9699.44,26,2001
341-05-7098,Colombia,7,76,60,0,189,6566.39,12,1340.8
872-44-3328,Western Sahara,7,83,84,9,84,7650.16,92,694.6
763-02-9977,China,6,65,44,1,48,7955.11,15,412.8
751-95-8286,United States,4,85,70,1,20,8635.37,0,186.9
167-09-6640,Canada,3,60,48,5,166,627,69,112.7
728-69-7851,Germany,4,65,41,2,153,11182.78,15,1848.2
860-67-9453,Peru,4,64,46,9,53,11310.05,0,647.7
287-66-3637,China,6,62,64,3,38,6602.98,74,271.4
793-17-2650,Colombia,6,59,58,2,70,9182.77,49,694.7
783-02-1619,China,4,71,77,7,105,390.72,5,44.7
837-89-6622,Peru,7,80,85,1,0,9127,73,0.5
453-24-4906,Syria,2,68,38,6,30,9844.41,92,319.2
234-48-2595,China,4,82,38,9,125,4041.4,76,546
362-04-1954,Ukraine,5,66,78,3,60,2175.42,94,141.4
652-09-8808,Philippines,7,83,30,9,33,6295.23,49,224.9
223-66-4294,China,7,56,47,6,176,939.18,90,179
805-34-5337,Canada,6,78,67,4,119,1494.13,42,192.5
269-65-6798,Philippines,7,70,61,1,125,8529.2,8,1151.9
627-59-8025,Philippines,3,59,34,8,139,3222.61,20,484
774-85-9467,Mexico,1,61,72,3,48,9827.3,93,509.7
489-93-5871,Comoros,7,70,50,0,89,396.87,6,38.6
131-74-7701,Panama,4,59,59,4,76,6515.24,85,535.1
832-43-7275,China,1,76,83,3,157,4784.64,72,811.6
