EmpID,CTC ,Salary,Health Insurance,Life Insurance,Pension Plan,Vaccation,Child Care,Performance Bonus,EquityShare,Finance Metrics
619-51-3328,127548.84,89284.188,6377.44,5101.95,14030.37,2,5101.95,2550.98,7,105.25
262-15-1956,24026.44,16818.508,1201.32,961.06,2642.91,17,961.06,480.53,1,19.83
388-46-9630,55295.78,38707.046,2764.79,2211.83,6082.54,16,2211.83,1105.92,5,45.63
479-74-8924,27647.29,19353.103,1382.36,1105.89,3041.2,13,1105.89,552.95,6,22.81
527-37-4349,35411.72,24788.204,1770.59,1416.47,3895.29,5,1416.47,708.23,1,29.23
700-51-9763,196358.27,137450.789,9817.91,7854.33,21599.41,5,7854.33,3927.17,10,162.01
722-12-5639,88648.31,62053.817,4432.42,3545.93,9751.31,3,3545.93,1772.97,4,73.15
385-59-3162,82272.37,57590.659,4113.62,3290.89,9049.96,3,3290.89,1645.45,9,67.90
394-32-2540,117203.22,82042.254,5860.16,4688.13,12892.35,11,4688.13,2344.06,6,96.70
180-31-5192,116084.21,81258.947,5804.21,4643.37,12769.26,2,4643.37,2321.68,2,95.79
833-29-6691,72011.15,50407.805,3600.56,2880.45,7921.23,16,2880.45,1440.22,9,59.42
771-35-6044,117817.5,82472.25,5890.88,4712.7,12959.93,13,4712.7,2356.35,3,97.20
484-62-6777,199179.01,139425.307,9958.95,7967.16,21909.69,1,7967.16,3983.58,3,164.35
391-66-8668,170174.79,119122.353,8508.74,6806.99,18719.23,1,6806.99,3403.5,4,140.42
245-83-6821,176412.58,123488.806,8820.63,7056.5,19405.38,13,7056.5,3528.25,0,145.54
832-96-3986,74581.05,52206.735,3729.05,2983.24,8203.92,1,2983.24,1491.62,2,61.55
114-30-8786,173207.54,121245.278,8660.38,6928.3,19052.83,17,6928.3,3464.15,5,142.91
341-05-7098,137567.23,96297.061,6878.36,5502.69,15132.4,14,5502.69,2751.34,9,113.50
872-44-3328,198842.56,139189.792,9942.13,7953.7,21872.68,14,7953.7,3976.85,8,164.05
763-02-9977,160921.44,112645.008,8046.07,6436.86,17701.36,4,6436.86,3218.43,6,132.78
751-95-8286,142292.07,99604.449,7114.6,5691.68,15652.13,9,5691.68,2845.84,0,117.40
167-09-6640,113521.32,79464.924,5676.07,4540.85,12487.35,8,4540.85,2270.43,0,93.66
728-69-7851,128564.37,89995.059,6428.22,5142.57,14142.08,10,5142.57,2571.29,6,106.07
860-67-9453,77777.47,54444.229,3888.87,3111.1,8555.52,18,3111.1,1555.55,8,64.18
287-66-3637,115461.48,80823.036,5773.07,4618.46,12700.76,3,4618.46,2309.23,0,95.27
793-17-2650,101944.22,71360.954,5097.21,4077.77,11213.86,1,4077.77,2038.88,6,84.13
783-02-1619,40693.97,28485.779,2034.7,1627.76,4476.34,2,1627.76,813.88,1,33.59
837-89-6622,60770.02,42539.014,3038.5,2430.8,6684.7,6,2430.8,1215.4,3,50.15
453-24-4906,189208.02,132445.614,9460.4,7568.32,20812.88,15,7568.32,3784.16,5,156.10
234-48-2595,72121.08,50484.756,3606.05,2884.84,7933.32,19,2884.84,1442.42,10,59.52
362-04-1954,34371.19,24059.833,1718.56,1374.85,3780.83,18,1374.85,687.42,10,28.37
652-09-8808,60731.98,42512.386,3036.6,2429.28,6680.52,19,2429.28,1214.64,3,50.12
223-66-4294,66014.63,46210.241,3300.73,2640.59,7261.61,14,2640.59,1320.29,9,54.47
805-34-5337,57886.01,40520.207,2894.3,2315.44,6367.46,12,2315.44,1157.72,2,47.76
269-65-6798,32045.5,22431.85,1602.28,1281.82,3525.01,18,1281.82,640.91,1,26.45
627-59-8025,148672.61,104070.827,7433.63,5946.9,16353.99,19,5946.9,2973.45,10,122.67
774-85-9467,193679.74,135575.818,9683.99,7747.19,21304.77,12,7747.19,3873.59,2,159.79
489-93-5871,35766.25,25036.375,1788.31,1430.65,3934.29,10,1430.65,715.33,6,29.51
131-74-7701,85221.35,59654.945,4261.07,3408.85,9374.35,2,3408.85,1704.43,7,70.33
832-43-7275,156453.89,109517.723,7822.69,6258.16,17209.93,4,6258.16,3129.08,1,129.09
110-64-9611,83420.21,58394.147,4171.01,3336.81,9176.22,1,3336.81,1668.4,6,68.85
364-07-3857,115843.63,81090.541,5792.18,4633.75,12742.8,4,4633.75,2316.87,2,95.59
379-44-6968,113839.39,79687.573,5691.97,4553.58,12522.33,18,4553.58,2276.79,3,93.93
190-74-2766,169332.8,118532.96,8466.64,6773.31,18626.61,6,6773.31,3386.66,4,139.71
851-75-4023,23953.69,16767.583,1197.68,958.15,2634.91,20,958.15,479.07,7,19.78
355-57-8632,36224.53,25357.171,1811.23,1448.98,3984.7,9,1448.98,724.49,9,29.89
692-32-4274,85476.22,59833.354,4273.81,3419.05,9402.38,19,3419.05,1709.52,7,70.53
245-61-6029,34508.96,24156.272,1725.45,1380.36,3795.99,11,1380.36,690.18,5,28.47
184-35-0434,166187.44,116331.208,8309.37,6647.5,18280.62,18,6647.5,3323.75,10,137.12
222-10-1304,171560.27,120092.189,8578.01,6862.41,18871.63,13,6862.41,3431.21,8,141.54
753-48-5430,28234.1,19763.87,1411.71,1129.36,3105.75,12,1129.36,564.68,5,23.30
671-14-3552,170019.55,119013.685,8500.98,6800.78,18702.15,12,6800.78,3400.39,3,140.27
305-30-3738,126041.65,88229.155,6302.08,5041.67,13864.58,18,5041.67,2520.83,9,104.00
553-09-1005,173752.29,121626.603,8687.61,6950.09,19112.75,6,6950.09,3475.05,3,143.36
121-78-4208,83594.37,58516.059,4179.72,3343.77,9195.38,18,3343.77,1671.89,4,68.98
594-75-3711,27398.3,19178.81,1369.92,1095.93,3013.81,6,1095.93,547.97,6,22.62
467-85-3870,159864.67,111905.269,7993.23,6394.59,17585.11,13,6394.59,3197.29,3,131.89
380-78-0274,136191.62,95334.134,6809.58,5447.66,14981.08,18,5447.66,2723.83,10,112.37
483-97-6662,141547.95,99083.565,7077.4,5661.92,15570.27,11,5661.92,2830.96,1,116.78
682-59-2742,154803.12,108362.184,7740.16,6192.12,17028.34,16,6192.12,3096.06,0,127.72
717-75-7968,105739.25,74017.475,5286.96,4229.57,11631.32,15,4229.57,2114.79,9,87.24
325-21-9619,175328.26,122729.782,8766.41,7013.13,19286.11,7,7013.13,3506.57,6,144.66
664-46-5045,184292.5,129004.75,9214.63,7371.7,20272.18,13,7371.7,3685.85,3,152.04
241-18-3696,127303.04,89112.128,6365.15,5092.12,14003.33,6,5092.12,2546.06,1,105.04
734-60-4732,88288.13,61801.691,4414.41,3531.53,9711.69,8,3531.53,1765.76,0,72.85
389-83-3341,112660.14,78862.098,5633.01,4506.41,12392.62,12,4506.41,2253.2,8,92.95
722-99-4130,41671.53,29170.071,2083.58,1666.86,4583.87,10,1666.86,833.43,10,34.39
484-29-5794,131059.22,91741.454,6552.96,5242.37,14416.51,10,5242.37,2621.18,6,108.13
644-78-6787,133552.57,93486.799,6677.63,5342.1,14690.78,2,5342.1,2671.05,2,110.20
340-65-4320,181601.59,127121.113,9080.08,7264.06,19976.17,14,7264.06,3632.03,9,149.83
421-96-9008,139002.71,97301.897,6950.14,5560.11,15290.3,2,5560.11,2780.05,1,114.70
439-01-2577,169172.17,118420.519,8458.61,6766.89,18608.94,5,6766.89,3383.44,10,139.59
356-65-9544,134541.92,94179.344,6727.1,5381.68,14799.61,20,5381.68,2690.84,2,111.01
522-17-2473,32794.35,22956.045,1639.72,1311.77,3607.38,7,1311.77,655.89,4,27.07
846-21-3275,80434.62,56304.234,4021.73,3217.38,8847.81,4,3217.38,1608.69,1,66.37
264-59-3547,56222.84,39355.988,2811.14,2248.91,6184.51,19,2248.91,1124.46,6,46.40
289-37-8623,183015.47,128110.829,9150.77,7320.62,20131.7,6,7320.62,3660.31,5,151.00
486-24-7101,45506.92,31854.844,2275.35,1820.28,5005.76,10,1820.28,910.14,9,37.55
572-76-6388,143132.23,100192.561,7156.61,5725.29,15744.55,19,5725.29,2862.64,0,118.10
698-84-7290,141199.83,98839.881,7059.99,5647.99,15531.98,6,5647.99,2824,3,116.50
125-28-6940,118655.66,83058.962,5932.78,4746.23,13052.12,12,4746.23,2373.11,6,97.89
303-05-8271,121225.64,84857.948,6061.28,4849.03,13334.82,4,4849.03,2424.51,4,100.03
478-06-4299,31352.83,21946.981,1567.64,1254.11,3448.81,10,1254.11,627.06,8,25.87
233-18-5047,104591.01,73213.707,5229.55,4183.64,11505.01,7,4183.64,2091.82,9,86.30
281-12-4721,126143.94,88300.758,6307.2,5045.76,13875.83,2,5045.76,2522.88,1,104.09
290-09-2503,178729.1,125110.37,8936.46,7149.16,19660.2,6,7149.16,3574.58,8,147.47
324-15-4305,52984.04,37088.828,2649.2,2119.36,5828.24,15,2119.36,1059.68,9,43.72
739-82-8145,178891.87,125224.309,8944.59,7155.67,19678.11,13,7155.67,3577.84,7,147.59
572-45-4226,112446.93,78712.851,5622.35,4497.88,12369.16,16,4497.88,2248.94,4,92.78
128-55-4312,155752.02,109026.414,7787.6,6230.08,17132.72,10,6230.08,3115.04,1,128.50
889-07-1040,117800.53,82460.371,5890.03,4712.02,12958.06,2,4712.02,2356.01,6,97.21
805-60-2039,78805.37,55163.759,3940.27,3152.21,8668.59,20,3152.21,1576.11,6,65.03
624-41-9651,198845.43,139191.801,9942.27,7953.82,21873,11,7953.82,3976.91,7,164.05
420-70-7277,99465.18,69625.626,4973.26,3978.61,10941.17,6,3978.61,1989.3,4,82.07
733-68-3802,68852.14,48196.498,3442.61,2754.09,7573.74,14,2754.09,1377.04,2,56.81
221-47-2870,130693.14,91485.198,6534.66,5227.73,14376.25,4,5227.73,2613.86,1,107.84
557-95-8752,23096.96,16167.872,1154.85,923.88,2540.67,17,923.88,461.94,4,19.07
679-20-3452,92700.75,64890.525,4635.04,3708.03,10197.08,4,3708.03,1854.02,9,76.50
898-60-7927,162285.44,113599.808,8114.27,6491.42,17851.4,4,6491.42,3245.71,6,133.90
582-02-0057,36152.01,25306.407,1807.6,1446.08,3976.72,19,1446.08,723.04,8,29.84
337-21-3249,52282.19,36597.533,2614.11,2091.29,5751.04,5,2091.29,1045.64,4,43.15
689-53-0416,117865.19,82505.633,5893.26,4714.61,12965.17,16,4714.61,2357.3,1,97.25
291-31-9214,165859.43,116101.601,8292.97,6634.38,18244.54,4,6634.38,3317.19,10,136.85
103-48-8949,138685.37,97079.759,6934.27,5547.41,15255.39,10,5547.41,2773.71,5,114.42
393-74-2259,40659.32,28461.524,2032.97,1626.37,4472.53,14,1626.37,813.19,5,33.55
277-86-5108,176222.79,123355.953,8811.14,7048.91,19384.51,10,7048.91,3524.46,6,145.39
808-66-7639,23633.67,16543.569,1181.68,945.35,2599.7,1,945.35,472.67,3,19.52
205-19-2596,162924.43,114047.101,8146.22,6516.98,17921.69,3,6516.98,3258.49,1,134.43
311-37-2045,171937.87,120356.509,8596.89,6877.51,18913.17,13,6877.51,3438.76,0,141.85
618-74-1973,87141.47,60999.029,4357.07,3485.66,9585.56,6,3485.66,1742.83,3,71.90
298-55-8193,177909.71,124536.797,8895.49,7116.39,19570.07,7,7116.39,3558.19,1,146.79
439-53-6005,130715.66,91500.962,6535.78,5228.63,14378.72,16,5228.63,2614.31,8,107.85
606-76-6531,94793.42,66355.394,4739.67,3791.74,10427.28,1,3791.74,1895.87,2,78.23
487-77-2868,93869.1,65708.37,4693.46,3754.76,10325.6,7,3754.76,1877.38,0,77.45
140-69-2133,127567.56,89297.292,6378.38,5102.7,14032.43,3,5102.7,2551.35,7,105.26
826-96-7247,105908.4,74135.88,5295.42,4236.34,11649.92,20,4236.34,2118.17,7,87.39
557-85-2983,198374.45,138862.115,9918.72,7934.98,21821.19,10,7934.98,3967.49,1,163.66
301-58-0029,161109.07,112776.349,8055.45,6444.36,17722,10,6444.36,3222.18,10,132.92
550-32-7846,93926.48,65748.536,4696.32,3757.06,10331.91,4,3757.06,1878.53,1,77.51
716-64-8832,193036.98,135125.886,9651.85,7721.48,21234.07,3,7721.48,3860.74,8,159.28
871-34-7288,196570.65,137599.455,9828.53,7862.83,21622.77,8,7862.83,3931.41,5,162.18
346-39-9147,178984.96,125289.472,8949.25,7159.4,19688.35,17,7159.4,3579.7,6,147.68
469-89-3373,176467.27,123527.089,8823.36,7058.69,19411.4,13,7058.69,3529.35,9,145.59
808-09-3486,192916.46,135041.522,9645.82,7716.66,21220.81,4,7716.66,3858.33,9,159.18
835-57-2153,93763.94,65634.758,4688.2,3750.56,10314.03,12,3750.56,1875.28,8,77.36
556-17-0259,180245.01,126171.507,9012.25,7209.8,19826.95,14,7209.8,3604.9,5,148.71
709-87-6101,154477.84,108134.488,7723.89,6179.11,16992.56,3,6179.11,3089.56,6,127.46
742-02-4596,124860.21,87402.147,6243.01,4994.41,13734.62,5,4994.41,2497.2,9,103.03
545-89-5710,83287.9,58301.53,4164.4,3331.52,9161.67,5,3331.52,1665.76,5,68.73
164-79-4017,151877.65,106314.355,7593.88,6075.11,16706.54,1,6075.11,3037.55,0,125.32
428-87-6767,70736.59,49515.613,3536.83,2829.46,7781.02,19,2829.46,1414.73,1,58.37
541-44-6686,67772.84,47440.988,3388.64,2710.91,7455.01,17,2710.91,1355.46,5,55.92
769-36-0601,117227.97,82059.579,5861.4,4689.12,12895.08,2,4689.12,2344.56,9,96.74
223-53-5667,118545.32,82981.724,5927.27,4741.81,13039.99,4,4741.81,2370.91,8,97.82
422-06-7284,62574.16,43801.912,3128.71,2502.97,6883.16,14,2502.97,1251.48,2,51.63
511-77-4543,150932.68,105652.876,7546.63,6037.31,16602.59,2,6037.31,3018.65,9,124.54
468-80-7819,73919.05,51743.335,3695.95,2956.76,8131.1,6,2956.76,1478.38,9,61.00
762-45-5216,146386.58,102470.606,7319.33,5855.46,16102.52,14,5855.46,2927.73,9,120.78
685-17-7402,102397.28,71678.096,5119.86,4095.89,11263.7,17,4095.89,2047.95,7,84.49
371-87-3589,183988.66,128792.062,9199.43,7359.55,20238.75,16,7359.55,3679.77,3,151.80
860-68-0820,25331.16,17731.812,1266.56,1013.25,2786.43,18,1013.25,506.62,5,20.91
497-80-7871,102831.42,71981.994,5141.57,4113.26,11311.46,13,4113.26,2056.63,2,84.84
490-08-3512,152569.24,106798.468,7628.46,6102.77,16782.62,12,6102.77,3051.38,8,125.87
708-21-2170,139484.87,97639.409,6974.24,5579.39,15343.34,8,5579.39,2789.7,2,115.08
555-32-3546,189625.93,132738.151,9481.3,7585.04,20858.85,13,7585.04,3792.52,3,156.44
339-01-1484,97576.51,68303.557,4878.83,3903.06,10733.42,12,3903.06,1951.53,1,80.50
511-53-3547,73429.65,51400.755,3671.48,2937.19,8077.26,14,2937.19,1468.59,6,60.59
597-50-1267,105687.82,73981.474,5284.39,4227.51,11625.66,1,4227.51,2113.76,8,87.22
345-96-5039,160011.74,112008.218,8000.59,6400.47,17601.29,10,6400.47,3200.23,2,132.01
530-72-0362,126741.12,88718.784,6337.06,5069.64,13941.52,17,5069.64,2534.82,10,104.58
368-25-5168,172818.28,120972.796,8640.91,6912.73,19010.01,4,6912.73,3456.37,2,142.59
403-76-2228,47621.41,33334.987,2381.07,1904.86,5238.36,10,1904.86,952.43,0,39.29
200-52-6696,26264.12,18384.884,1313.21,1050.56,2889.05,3,1050.56,525.28,0,21.69
288-15-3288,133386.8,93370.76,6669.34,5335.47,14672.55,4,5335.47,2667.74,8,110.06
774-13-5170,72175.9,50523.13,3608.8,2887.04,7939.35,3,2887.04,1443.52,3,59.56
891-93-3002,162613.32,113829.324,8130.67,6504.53,17887.47,15,6504.53,3252.27,6,134.16
781-89-2678,144764.74,101335.318,7238.24,5790.59,15924.12,3,5790.59,2895.29,5,119.45
785-53-8498,174522.89,122166.023,8726.14,6980.92,19197.52,2,6980.92,3490.46,6,144.00
248-96-0005,105255.98,73679.186,5262.8,4210.24,11578.16,20,4210.24,2105.12,10,86.86
409-09-7952,114702.67,80291.869,5735.13,4588.11,12617.29,20,4588.11,2294.05,10,94.65
729-11-0760,126078.72,88255.104,6303.94,5043.15,13868.66,3,5043.15,2521.57,3,104.03
402-14-2441,148197.2,103738.04,7409.86,5927.89,16301.69,10,5927.89,2963.94,5,122.27
547-43-3191,27629.66,19340.762,1381.48,1105.19,3039.26,17,1105.19,552.59,3,22.81
714-34-1163,49016.35,34311.445,2450.82,1960.65,5391.8,19,1960.65,980.33,1,40.45
796-40-3771,101536.42,71075.494,5076.82,4061.46,11169.01,12,4061.46,2030.73,4,83.77
445-07-0989,26502.13,18551.491,1325.11,1060.09,2915.23,16,1060.09,530.04,6,21.87
439-58-6795,109652.88,76757.016,5482.64,4386.12,12061.82,15,4386.12,2193.06,10,90.47
331-27-4655,112658.12,78860.684,5632.91,4506.32,12392.39,13,4506.32,2253.16,1,92.95
817-40-4786,61238.86,42867.202,3061.94,2449.55,6736.27,3,2449.55,1224.78,10,50.54
182-52-0176,22189.37,15532.559,1109.47,887.57,2440.83,15,887.57,443.79,3,18.31
165-06-2401,190000.59,133000.413,9500.03,7600.02,20900.06,1,7600.02,3800.01,10,156.78
801-83-1506,26851.64,18796.148,1342.58,1074.07,2953.68,14,1074.07,537.03,4,22.16
294-26-7671,198227.54,138759.278,9911.38,7929.1,21805.03,8,7929.1,3964.55,9,163.55
640-78-3602,109599.05,76719.335,5479.95,4383.96,12055.9,9,4383.96,2191.98,6,90.43
