EmpID,Name,Age,Gender,Sleeping Hours,Stress level,Medication,Hours of Meditation,Life Satisfaction,Relationship Status,Relationship Satisfaction,Acheivements,EQ,Mental Check up Score
619-51-3328,Sherlock Apedaile,28,Non-binary,12,4.9,1,0,0,1,2,5,83.1,5.229
262-15-1956,Christa Pogson,54,Genderqueer,8,2.5,1,1,3,1,5,8,40.9,2.951
388-46-9630,Ashley Saylor,41,Polygender,4,5,1,0,0,4,2,6,69.1,3.323
479-74-8924,Carmelina Selliman,20,Bigender,12,9.7,1,2,3,5,4,2,103,6.481
527-37-4349,Stacy Cescon,30,Female,5,4.2,1,1,1,5,1,3,43.6,1.611
700-51-9763,Joann Walworth,57,Female,8,9.2,1,1,4,2,2,8,51.6,2.479
722-12-5639,Coral Shawdforth,38,Female,13,5,0,2,0,2,3,7,48.2,2.103
385-59-3162,Kahaleel Hince,41,Bigender,6,8.9,1,0,5,7,1,10,48.5,1.69
394-32-2540,Hillel Selwin,18,Non-binary,10,6.9,1,0,5,4,4,9,84.9,6.165
180-31-5192,Nathalie Huet,50,Genderfluid,6,5,1,0,1,5,1,10,86.2,5.594
833-29-6691,Zeb Brigstock,50,Genderfluid,12,4.8,0,1,1,5,1,12,52.7,2.851
771-35-6044,Rikki De Anesy,39,Non-binary,7,8.8,1,1,1,6,1,3,58.8,2.575
484-62-6777,Olivier Drysdell,53,Bigender,9,9.1,0,2,1,1,4,2,73.9,4.657
391-66-8668,Broderick Callard,39,Genderfluid,10,5.1,0,0,2,7,2,1,63.7,4.063
245-83-6821,Doralia Measey,54,Bigender,4,1.1,0,0,3,5,5,5,106.3,7.771
832-96-3986,Phaidra Bigmore,18,Male,4,3.8,0,0,5,4,3,1,107.5,7.43
114-30-8786,Ky Wildish,27,Female,8,3,0,0,0,5,1,10,56.3,3.992
341-05-7098,Yolanthe Beadham,34,Agender,8,8.3,1,2,4,1,4,5,89.9,6.279
872-44-3328,Felicia Featherby,30,Non-binary,14,6.8,0,0,3,2,5,11,47.4,1.537
763-02-9977,Winston Fairlie,60,Non-binary,4,6.5,1,0,5,4,3,6,87.1,4.953
751-95-8286,Kiersten Norcross,51,Bigender,6,4.4,1,2,4,7,5,4,76.4,5.225
167-09-6640,Imojean Lamberton,37,Agender,12,3.3,0,0,5,7,1,11,88.2,6.534
728-69-7851,Mathias Jandera,46,Genderfluid,8,7,1,2,3,5,5,12,58.2,3.826
860-67-9453,Dorri Thelwll,19,Female,11,6.6,0,1,5,3,2,5,67.8,4.371
287-66-3637,Karolina Glendenning,57,Agender,12,5.5,1,0,0,3,2,2,92.1,5.721
793-17-2650,Lenci Hurdman,35,Bigender,10,6.8,0,2,1,6,5,11,48.2,2.887
783-02-1619,Ardine Gammons,26,Female,11,5.3,0,2,1,4,1,7,53.5,3.182
837-89-6622,Olympia Perschke,36,Non-binary,7,5.4,0,1,1,5,4,8,50,2.799
453-24-4906,Ody Woolacott,37,Polygender,7,1.6,0,0,3,4,3,2,41.3,2.62
234-48-2595,Albert Essame,38,Male,14,4.6,0,2,0,3,3,5,95.3,6.066
362-04-1954,Cleavland Lashley,47,Male,4,4.8,1,0,4,3,3,1,43.9,1.238
652-09-8808,Chrisy Wilhelmy,54,Genderfluid,4,3,0,2,5,7,5,8,67.1,4.314
223-66-4294,Sabine Witchalls,41,Male,4,6.2,1,1,2,2,2,3,101.1,6.121
805-34-5337,Joann O'Shevlan,30,Bigender,9,8.8,1,1,0,7,2,5,92.6,6.275
269-65-6798,Jeanie Lambart,22,Agender,7,3.1,0,1,3,6,2,1,58.9,4.024
627-59-8025,Moreen MacKaig,59,Bigender,7,9.1,1,0,2,4,2,12,93.7,5.844
774-85-9467,Aurelea Codron,59,Male,12,9.9,0,2,2,3,3,11,51.7,1.886
489-93-5871,Aguste Meriot,49,Polygender,7,4.3,1,2,1,2,4,5,81.6,5.81
131-74-7701,Darnall Petrolli,35,Non-binary,10,9,1,2,3,7,4,3,104.7,7.33
832-43-7275,York Kohrsen,57,Genderqueer,14,8.1,1,1,3,3,2,10,42,0.636
110-64-9611,Lucina Grammer,60,Male,13,9.4,1,0,0,2,5,3,47.9,0.736
364-07-3857,Adrianna Hallum,19,Genderfluid,7,3.8,1,2,0,1,2,10,64.3,4.514
379-44-6968,Adele Elfes,34,Bigender,4,5.9,1,2,0,3,1,9,79,4.352
190-74-2766,Fred Stiggles,22,Polygender,8,7.9,0,2,5,5,5,11,107.4,8.331
851-75-4023,Holt Willford,49,Female,7,1.3,0,2,3,4,4,11,98.7,8.349
355-57-8632,Patsy Begent,44,Female,14,4.7,0,2,3,2,5,2,99.1,6.546
692-32-4274,Ignaz Natt,27,Male,9,4.6,1,1,5,4,4,11,91,7.619
245-61-6029,Bebe Kuhlen,22,Female,5,4.3,0,2,3,1,1,4,93.2,6.439
184-35-0434,Gabey Asplin,27,Genderqueer,11,6.7,1,0,0,2,3,9,65,3.678
222-10-1304,Marlie Hulkes,35,Bigender,9,4.5,1,1,3,6,2,7,30.5,1.837
753-48-5430,Mara Krauss,44,Male,4,9.1,1,0,2,7,3,9,79.7,3.666
671-14-3552,Darrel Watson,51,Non-binary,4,1.9,1,0,4,7,2,2,74.7,4.607
305-30-3738,Ruthe Metzing,23,Agender,8,2.8,1,2,1,1,4,5,32.9,2.151
553-09-1005,Siobhan Janku,40,Genderfluid,13,1.2,1,2,1,7,5,4,102.8,7.798
121-78-4208,Cass Ioannidis,60,Genderfluid,6,8.9,1,2,5,1,5,2,51.9,2.061
594-75-3711,Ann-marie Peasgood,19,Genderfluid,13,9.8,0,2,1,3,3,1,84.2,4.325
467-85-3870,Irina Winwood,29,Genderfluid,4,3.1,0,1,1,4,3,7,92.8,6.205
380-78-0274,Vaughn Beresfore,41,Genderfluid,7,6.2,0,2,1,2,3,11,60.9,3.773
483-97-6662,Cissiee Dorant,37,Agender,13,5.4,0,2,0,4,3,12,101.8,6.997
682-59-2742,Shepherd Pigott,18,Agender,9,8.8,1,0,1,1,1,2,95,6.395
717-75-7968,Westbrooke Bester,40,Agender,5,5.1,0,0,0,2,1,11,72.3,4.064
325-21-9619,Doralynne Coiley,19,Genderqueer,5,6.7,1,2,0,2,4,5,44.3,1.415
664-46-5045,Barbara Dinis,30,Polygender,6,9.4,0,2,5,2,1,9,63,3.195
241-18-3696,Barth Atthow,45,Genderqueer,4,9.1,0,0,2,6,3,2,51.3,0.947
734-60-4732,Dario Streetley,38,Genderfluid,4,2.8,1,2,5,7,4,7,51.9,2.928
