EmpID,JobLevel,WorkingHours,PerformanceRating,WorkExperience,Working_years(samecompany),Years_Since_last_Promotion ,SalaryHike%,Overtime,DailyTravellingtime,PaidLeave,SickLeave,PaternityLeaveIndex,MaternityLeaveIndex,EqualPayIndex,WLB Score
619-51-3328,4,10,0,14,2,4,38,0,1,5,5,0,5,5,38.6
262-15-1956,4,9,1,39,19,9,43,4,1,7,1,0,5,2,34.1
388-46-9630,3,8,4,17,12,8,72,2,0,1,11,5,2,2,71.3
479-74-8924,1,12,1,32,24,5,85,0,3,1,7,0,2,4,66.5
527-37-4349,1,12,1,36,11,9,36,2,1,9,12,1,3,3,35.4
700-51-9763,0,11,3,11,13,13,34,3,1,4,9,1,3,1,27.1
722-12-5639,4,12,0,14,19,1,27,0,3,6,10,5,1,5,30.5
385-59-3162,5,9,0,32,15,16,74,3,1,12,7,2,3,0,62.2
394-32-2540,7,11,3,18,18,7,5,4,2,5,5,4,5,3,8.2
180-31-5192,6,12,1,19,13,3,7,0,1,12,10,0,5,3,19.7
833-29-6691,0,12,1,39,40,6,86,2,3,6,1,3,4,5,66.2
771-35-6044,2,8,1,39,18,8,46,4,1,8,7,1,5,2,43.9
484-62-6777,1,11,0,4,26,20,66,2,2,2,10,3,0,2,45.8
391-66-8668,1,11,3,5,24,3,25,2,3,10,7,5,0,1,25.9
245-83-6821,3,8,1,3,23,16,47,2,1,1,9,1,4,2,40
832-96-3986,1,12,4,17,29,15,99,3,2,10,11,5,0,1,82.2
114-30-8786,0,11,1,3,15,10,60,2,1,2,5,1,2,5,46.3
341-05-7098,2,11,5,19,28,4,70,0,0,3,1,3,2,2,62.1
872-44-3328,6,8,4,30,36,0,36,0,3,2,10,5,4,5,48.2
763-02-9977,2,9,1,2,7,4,13,4,0,12,12,1,2,4,25.5
751-95-8286,6,10,2,24,18,3,18,2,1,3,5,4,3,2,21.4
167-09-6640,2,10,4,8,42,5,85,3,0,4,3,2,5,3,74.9
728-69-7851,1,8,4,42,31,19,90,2,2,8,5,0,5,0,73.4
860-67-9453,5,11,0,33,2,18,86,0,1,3,8,2,5,1,68.4
287-66-3637,7,10,3,19,18,9,45,3,1,11,5,5,4,1,45.5
793-17-2650,1,8,1,27,34,14,33,4,2,10,8,2,2,0,28.1
783-02-1619,0,12,2,33,5,17,62,4,2,12,10,1,2,4,49.5
837-89-6622,1,12,2,9,6,9,17,2,2,10,6,0,0,5,14.5
453-24-4906,1,11,3,9,10,1,49,0,0,9,2,3,3,3,50.2
234-48-2595,7,9,1,38,16,1,19,0,2,12,4,3,0,4,28.3
362-04-1954,5,8,5,9,5,19,42,1,0,11,11,4,4,5,53.2
652-09-8808,3,12,4,8,35,15,2,1,2,5,11,5,5,2,8.1
223-66-4294,6,12,0,40,31,19,53,0,3,8,1,1,0,3,32.5
805-34-5337,6,9,0,10,28,15,69,0,2,1,0,4,3,1,50.5
269-65-6798,0,8,0,32,30,13,92,2,1,8,11,3,4,5,84.7
627-59-8025,5,10,1,4,20,13,28,1,3,11,12,5,2,1,30.9
774-85-9467,0,11,0,15,3,10,0,1,0,8,3,0,2,1,-1.5
489-93-5871,6,8,5,1,23,5,8,4,1,12,5,2,1,4,20.6
131-74-7701,0,12,3,21,31,19,5,1,3,2,1,5,5,4,-3.3
832-43-7275,2,11,5,35,22,11,89,4,0,2,9,4,5,0,76.2
110-64-9611,7,10,3,14,16,1,93,3,0,5,6,0,0,1,81.2
364-07-3857,6,12,5,17,12,10,88,4,0,0,11,2,5,2,76.2
379-44-6968,2,12,0,29,0,5,65,3,2,4,4,4,2,2,48.4
190-74-2766,0,12,0,22,4,2,9,2,1,4,6,5,0,0,6.7
851-75-4023,5,10,5,24,32,0,16,4,1,6,4,0,4,5,23.1
355-57-8632,4,8,2,4,24,6,30,2,2,12,1,1,4,2,31.4
692-32-4274,0,10,2,42,2,17,92,4,0,6,4,3,2,3,71.6
245-61-6029,0,10,0,25,7,10,49,0,2,6,2,5,0,5,39.9
184-35-0434,5,11,0,36,13,5,83,4,2,7,6,5,0,0,65.5
222-10-1304,0,11,2,14,8,19,54,1,3,3,3,5,0,1,33.5
753-48-5430,4,12,3,7,16,14,22,3,2,7,1,1,1,3,10.8
671-14-3552,2,10,2,9,13,11,59,3,0,8,2,1,1,3,47.7
305-30-3738,2,10,2,34,19,7,80,2,2,5,6,5,4,1,68.8
